Name,Platform,Genre,Language,Timing,Year,Director
Da 5 Bloods,Netflix,"action, drama, military, adventure",English,156,2020,Spike Lee
Ma Rainey's Black Bottom,Netflix,"drama, music, musical",English,94,2020,George C. Wolfe
Mank,Netflix,drama,English,133,2020,David Fincher
Pieces of a Woman,Netflix,drama,English,127,2020,Kornel Mundruczo
News of the World,Netflix,"western, drama",English,118,2020,Paul Greengrass
The Life Ahead,Netflix,drama,Italian,94,2020,Edoardo Ponti
Malcolm & Marie,Netflix,"drama, independent",English,106,2021,Sam Levinson
Booksmart,Netflix,comedy,English,102,2019,Olivia Wilde
Unicorn Store,Netflix,"comedy, drama, independent",English,92,2017,Brie Larson
Carrie Pilby,Netflix,"comedy, drama",English,98,2016,Susan Johnson
The fundamentals of Caring,Netflix,"comedy, drama, independent",English,97,2016,Rob Burnett
the DIG,Netflix,"history#, drama",English,112,2021,Simon Stone
The White Tiger,Netflix,"crime, drama",English,125,2021,Ramin Bahrani
The Land of Steady Habits,Netflix,"comedy, drama, independent",English,98,2018,Nicole Holofcener
Snakes on a Plane,Netflix,"action, horror, thriller",English,105,2006,David R. Ellis
Paddleton,Netflix,"comedy, drama, independent",English,89,2019,Alexandre Lehmann
A silent Voice,Netflix,"anime, drama, animation",Japanese,130,2016,Naoko Yamada
Falling down ,Netflix,"crime, drama, thriller",English,113,1993,Joel Schumacher
Adult Life Skills,Netflix,"comedy, drama, independent",English,96,2016,Rachel Tunnard
I'm no longer here,Netflix,"drama, independent, music",Spanish,105,2019,Fernando Frias
Babyteeth,Netflix,"comedy, drama",English,118,2019,Shannon Murphy
Les Miserables,Netflix,drama,French,103,2019,Ladj Ly
Rose Island,Netflix,"comedy, drama",Italian,120,2020,Sydney Sibilia
Captain Fantastic,Netflix,"comedy, drama, independent",English,119,2016,Matt Ross
White Boy Rick,Netflix,"crime, drama",English,116,2018,Yann Demange
The Devil All the Time,Netflix,"crime, drama, thriller",English,138,2020,Antonio Campos
Zodiac,Netflix,"crime, drama, thriller, mystery",English,157,2007,David Fincher
"Ruben Brandt, Collector",Netflix,"animation, crime, action, adventure, thriller",English,96,2018,Milorad Krstic
Ready Player one,Netflix,"sci-fi, action, adventure",English,140,2018,Steven Spielberg
The Guernsey Literary & Potato Peel Pie Society,Netflix,"romance, drama",English,124,2018,Mike Newell
The Midnight Sky,Netflix,"sci-fi, drama",English,118,2020,George Clooney
The Platform,Netflix,"sci-fi, thriller",Spanish,95,2019,Galder Gaztelu-Urrutia
Freaks,Netflix,"sci-fi, thriller, independent",English,105,2018,"Zach Lipovsky, Adam B. Stein"
A Fortunate Man,Netflix,"drama, history",Danish,162,2018,Bille August
All Is True,Netflix,"history, drama",English,101,2018,Kenneth Branagh
Dolemite Is My name,Netflix,"comedy, drama",English,118,2019,Craig Brewer
Kicking and Screaming,Netflix,"comedy, drama, romance, independent",English,96,1995,Noah Baumbach
Arkansas,Netflix,"crime, thriller, drama",English,115,2020,Clark Duke
At Eternity's Gate,Netflix,"drama, history",English,111,2018,Julian Schnabel
Damsel,Netflix,"western, comedy",English,114,2018,"Nathan Zellner, David Zellner"
I'm thinking of ending things,Netflix,"drama, thriller, independent",English,134,2020,Charlie Kaufman
Greenland,Prime,"action, thriller, sci-fi",English,120,2020,Ric Roman Waugh
Do the Right Thing,Prime,"drama, comedy",English,120,1989,Spike Lee
Mary and Max,Prime,"animation, comedy, drama",English,92,2009,Adam Elliot
Fight Club,Prime,"drama, action",English,139,1999,David Fincher
Seven Samurai,Prime,"action, drama",Japanese,207,1954,Akira Kurosawa
Suspiria,Prime,horror,Italian,99,1977,Dario Argento
Reservoir Dogs,Prime,"crime, thriller, action",English,99,1992,Quentin Tarantino
Cure,Prime,horror,Japanese,111,1997,Kiyoshi Kurosawa
Blade Runner 2049,Prime,"sci-fi, drama, action",English,163,2017,Denis Villeneuve
Sorry We Missed You,Prime,drama,English,100,2019,Ken Loach
The Pleasure of Being Robbed,Prime,drama,English,71,2008,Josh Safdie
pi,Prime,"drama, thriller",English,84,1998,Darren Aronofsky
Gold,Prime,"adventure, thriller, drama, action",English,121,2016,Stephen Gaghan
Free Fire,Prime,"crime, action",English,90,2016,Ben Wheatley
Requiem For a Dream,Prime,"crime, thriller, drama",English,102,2000,Darren Aronofsky
While We're Young,Prime,"comedy, drama",English,97,2014,Noah Baumbach
Official Secrets,Prime,"history, drama, action",English,112,2019,Gavin Hood
Dark Waters,Prime,"drama, thriller",English,127,2019,Todd Haynes
Fantastic Planet,Prime,"animation, sci-fi",French,72,1973,Rene Laloux
M,Prime,"action, thriller, drama",German,117,1931,Fritz Lang
Listen Up Philip,Prime,comedy,English,109,2014,Alex Ross Perry
21 bridges,Prime,"action, crime, drama",English,99,2019,Brian Kirk
One Night in Miami,Prime,drama,English,114,2020,Regina King
Rams-Hrutar,Kanopy,drama,Icelandic,93,2015,Grimur Hakonarson
Da sweet blood of jesus,Kanopy,"drama, romance",English,123,2014,Spike Lee
please stand by,Kanopy,"comedy, drama",English,93,2017,Ben Lewin
perdita durango,Kanopy,"action, thriller, horror",English,126,1997,Alex de la Iglesia
senna,Kanopy,documentary,English,106,2010,Asif Kapadia
harriet,Kanopy,"history, drama",English,125,2019,Kasi Lemmons
fences,Kanopy,"drama, independent",English,139,2016,Denzel Washington
sansho the bailiff,Kanopy,"drama, war, action",Japanese,124,1954,Kenji Mizoguchi
samurai i,Kanopy,"action, adventure, war",Japanese,93,1954,Hiroshi Inagaki
samurai ii,Kanopy,"action, adventure, war",Japanese,103,1955,Hiroshi Inagaki
samurai iii,Kanopy,"action, adventure, war",Japanese,105,1956,Hiroshi Inagaki
nocturnal animals,Kanopy,"drama, thriller, independent, horror",English,116,2016,Tom Ford
ring- ringu,Kanopy,"horror, thriller",Japanese,96,1998,Hideo Nakata
una,Kanopy,"drama, thriller, independent, romance",English,94,2016,Benedict Andrews
Night Moves,Kanopy,"drama, thriller, independent",English,112,2013,Kelly Reichardt
"kumiko, the treasure hunter",Kanopy,"drama, independent",English,100,2014,David Zellner
dark water,Kanopy,"horror, thriller",Japanese,101,2002,Hideo Nakata
tampopo,Kanopy,comedy,Japanese,115,1985,Juzo Itami
just jim,Kanopy,"comedy, drama, independent",English,85,2015,Craig Roberts
into the wild,Kanopy,"adventure, drama, independent",English,148,2007,Sean Penn
a brighter summer day,Kanopy,"romance, drama",Mandarin,237,1991,Edward Yang
Suspiria,Prime,"horror, fantasy",English,152,2018,Luca Guadagnino
Pulp Fiction,NowTv,crime thriller,English,154,1994,Quentin Tarantino
Red Dot,Netflix,thriller,Swedish,86,2021,Alain Darborg
